num	glyph	GE-source	description
358	嗘	GE-336C	GB/T 16500—1998，19—76
359	嗠	GE-336D	GB/T 16500—1998，19—77
360	嗧	GE-336E	GB/T 16500—1998，19—78
361	嗮	GE-336F	GB/T 16500—1998，19—79
362	嗴	GE-3370	GB/T 16500—1998，19—80
363	嘃	GE-3371	GB/T 16500—1998，19—81
364	嘑	GE-3372	GB/T 16500—1998，19—82
365	嘙	GE-3373	GB/T 16500—1998，19—83
366	嘝	GE-3374	GB/T 16500—1998，19—84
367	嘠	GE-3375	GB/T 16500—1998，19—85
368	嘨	GE-3376	GB/T 16500—1998，19—86
369	嘷	GE-3377	GB/T 16500—1998，19—87
370	噉	GE-3378	GB/T 16500—1998，19—88
371	噑	GE-3379	GB/T 16500—1998，19—89
372	噒	GE-337A	GB/T 16500—1998，19—90
373	噓	GE-337B	GB/T 16500—1998，19—91
374	噚	GE-337C	GB/T 16500—1998，19—92
375	噛	GE-337D	GB/T 16500—1998，19—93
376	噮	GE-337E	GB/T 16500—1998，19—94
377	噵	GE-3421	GB/T 16500—1998，20—01
378	噺	GE-3422	GB/T 16500—1998，20—02
379	嚉	GE-3423	GB/T 16500—1998，20—03
380	嚐	GE-3424	GB/T 16500—1998，20—04
381	嚑	GE-3425	GB/T 16500—1998，20—05
382	嚒	GE-3426	GB/T 16500—1998，20—06
383	嚟	GE-3427	GB/T 16500—1998，20—07
384	嚠	GE-3428	GB/T 16500—1998，20—08
385	嚢	GE-3429	GB/T 16500—1998，20—09
386	嚥	GE-342A	GB/T 16500—1998，20—10
387	嚰	GE-342B	GB/T 16500—1998，20—11
388	嚱	GE-342C	GB/T 16500—1998，20—12
389	嚸	GE-342D	GB/T 16500—1998，20—13
390	嚺	GE-342E	GB/T 16500—1998，20—14
391	嚻	GE-342F	GB/T 16500—1998，20—15
392	囃	GE-3430	GB/T 16500—1998，20—16
393	囄	GE-3431	GB/T 16500—1998，20—17
394	囇	GE-3432	GB/T 16500—1998，20—18
395	囎	GE-3433	GB/T 16500—1998，20—19
396	囒	GE-3434	GB/T 16500—1998，20—20
397	囓	GE-3435	GB/T 16500—1998，20—21
398	囘	GE-3436	GB/T 16500—1998，20—22
399	囙	GE-3437	GB/T 16500—1998，20—23
400	囜	GE-3438	GB/T 16500—1998，20—24
401	団	GE-3439	GB/T 16500—1998，20—25
402	囨	GE-343A	GB/T 16500—1998，20—26
403	囪	GE-343B	GB/T 16500—1998，20—27
404	囬	GE-343C	GB/T 16500—1998，20—28
405	囯	GE-343D	GB/T 16500—1998，20—29
406	囲	GE-343E	GB/T 16500—1998，20—30
407	図	GE-343F	GB/T 16500—1998，20—31
408	囶	GE-3440	GB/T 16500—1998，20—32
409	囻	GE-3441	GB/T 16500—1998，20—33
410	圅	GE-3442	GB/T 16500—1998，20—34
411	圎	GE-3443	GB/T 16500—1998，20—35
412	圏	GE-3444	GB/T 16500—1998，20—36
413	圑	GE-3445	GB/T 16500—1998，20—37
414	圕	GE-3446	GB/T 16500—1998，20—38
415	圗	GE-3447	GB/T 16500—1998，20—39
416	圝	GE-3448	GB/T 16500—1998，20—40
417	圥	GE-3449	GB/T 16500—1998，20—41
418	圦	GE-344A	GB/T 16500—1998，20—42
419	圧	GE-344B	GB/T 16500—1998，20—43
420	圵	GE-344C	GB/T 16500—1998，20—44
421	圷	GE-344D	GB/T 16500—1998，20—45
422	圸	GE-344E	GB/T 16500—1998，20—46
423	坓	GE-344F	GB/T 16500—1998，20—47
424	坕	GE-3450	GB/T 16500—1998，20—48
425	坖	GE-3451	GB/T 16500—1998，20—49
426	坘	GE-3452	GB/T 16500—1998，20—50
427	坙	GE-3453	GB/T 16500—1998，20—51
428	坵	GE-3454	GB/T 16500—1998，20—52
429	垉	GE-3455	GB/T 16500—1998，20—53
430	垊	GE-3456	GB/T 16500—1998，20—54
431	垜	GE-3457	GB/T 16500—1998，20—55
432	垨	GE-3458	GB/T 16500—1998，20—56
433	垪	GE-3459	GB/T 16500—1998，20—57
434	垬	GE-345A	GB/T 16500—1998，20—58
435	垰	GE-345B	GB/T 16500—1998，20—59
436	垳	GE-345C	GB/T 16500—1998，20—60
437	垻	GE-345D	GB/T 16500—1998，20—61
