num	glyph	pseudo G7-source	description
191	怀	G7-10095.1	简化字总表，第1表第95个字头第1个字样
192	懷	G7-10095.2	简化字总表，第1表第95个字头第2个字样
193	坏	G7-10096.1	简化字总表，第1表第96个字头第1个字样
194	壞	G7-10096.2	简化字总表，第1表第96个字头第2个字样
195	欢	G7-10097.1	简化字总表，第1表第97个字头第1个字样
196	歡	G7-10097.2	简化字总表，第1表第97个字头第2个字样
197	环	G7-10098.1	简化字总表，第1表第98个字头第1个字样
198	環	G7-10098.2	简化字总表，第1表第98个字头第2个字样
199	还	G7-10099.1	简化字总表，第1表第99个字头第1个字样
200	還	G7-10099.2	简化字总表，第1表第99个字头第2个字样
201	回	G7-10100.1	简化字总表，第1表第100个字头第1个字样
202	迴	G7-10100.2	简化字总表，第1表第100个字头第2个字样
203	伙	G7-10101.1	简化字总表，第1表第101个字头第1个字样
204	夥	G7-10101.2	简化字总表，第1表第101个字头第2个字样
205	获	G7-10102.1	简化字总表，第1表第102个字头第1个字样
206	獲	G7-10102.2	简化字总表，第1表第102个字头第2个字样
207	穫	G7-10102.3	简化字总表，第1表第102个字头第3个字样
208	击	G7-10103.1	简化字总表，第1表第103个字头第1个字样
209	擊	G7-10103.2	简化字总表，第1表第103个字头第2个字样
210	鸡	G7-10104.1	简化字总表，第1表第104个字头第1个字样
211	鷄	G7-10104.2	简化字总表，第1表第104个字头第2个字样
212	积	G7-10105.1	简化字总表，第1表第105个字头第1个字样
213	積	G7-10105.2	简化字总表，第1表第105个字头第2个字样
214	极	G7-10106.1	简化字总表，第1表第106个字头第1个字样
215	極	G7-10106.2	简化字总表，第1表第106个字头第2个字样
216	际	G7-10107.1	简化字总表，第1表第107个字头第1个字样
217	際	G7-10107.2	简化字总表，第1表第107个字头第2个字样
218	继	G7-10108.1	简化字总表，第1表第108个字头第1个字样
219	繼	G7-10108.2	简化字总表，第1表第108个字头第2个字样
220	家	G7-10109.1	简化字总表，第1表第109个字头第1个字样
221	傢	G7-10109.2	简化字总表，第1表第109个字头第2个字样
222	价	G7-10110.1	简化字总表，第1表第110个字头第1个字样
223	價	G7-10110.2	简化字总表，第1表第110个字头第2个字样
