num	glyph	G8-source	description
346	棓	G8-7B76	GB/T 8565.2—1988，91—86
347	棬	G8-7B77	GB/T 8565.2—1988，91—87
348	椫	G8-7B78	GB/T 8565.2—1988，91—88
349	棨	G8-7B79	GB/T 8565.2—1988，91—89
350	榾	G8-7B7A	GB/T 8565.2—1988，91—90
351	楩	G8-7B7B	GB/T 8565.2—1988，91—91
352	楀	G8-7B7C	GB/T 8565.2—1988，91—92
353	楯	G8-7B7D	GB/T 8565.2—1988，91—93
354	楟	G8-7B7E	GB/T 8565.2—1988，91—94
355	楢	G8-7C21	GB/T 8565.2—1988，92—01
356	椵	G8-7C22	GB/T 8565.2—1988，92—02
357	楙	G8-7C23	GB/T 8565.2—1988，92—03
358	榼	G8-7C24	GB/T 8565.2—1988，92—04
359	槅	G8-7C25	GB/T 8565.2—1988，92—05
360	槚	G8-7C26	GB/T 8565.2—1988，92—06
361	槜	G8-7C27	GB/T 8565.2—1988，92—07
362	樋	G8-7C28	GB/T 8565.2—1988，92—08
363	槥	G8-7C29	GB/T 8565.2—1988，92—09
364	橦	G8-7C2A	GB/T 8565.2—1988，92—10
365	檖	G8-7C2B	GB/T 8565.2—1988，92—11
366	檴	G8-7C2C	GB/T 8565.2—1988，92—12
367	狝	G8-7C2D	GB/T 8565.2—1988，92—13
368	峱	G8-7C2E	GB/T 8565.2—1988，92—14
369	猔	G8-7C2F	GB/T 8565.2—1988，92—15
370	猺	G8-7C30	GB/T 8565.2—1988，92—16
371	殕	G8-7C31	GB/T 8565.2—1988，92—17
372	彧	G8-7C32	GB/T 8565.2—1988，92—18
373	胾	G8-7C33	GB/T 8565.2—1988，92—19
374	瓻	G8-7C34	GB/T 8565.2—1988，92—20
375	甃	G8-7C35	GB/T 8565.2—1988，92—21
376	敜	G8-7C36	GB/T 8565.2—1988，92—22
377	敩	G8-7C37	GB/T 8565.2—1988，92—23
378	漦	G8-7C38	GB/T 8565.2—1988，92—24
379	旸	G8-7C39	GB/T 8565.2—1988，92—25
380	旻	G8-7C3A	GB/T 8565.2—1988，92—26
381	昉	G8-7C3B	GB/T 8565.2—1988，92—27
382	昽	G8-7C3C	GB/T 8565.2—1988，92—28
383	晢	G8-7C3D	GB/T 8565.2—1988，92—29
384	晞	G8-7C3E	GB/T 8565.2—1988，92—30
385	晬	G8-7C3F	GB/T 8565.2—1988，92—31
386	暍	G8-7C40	GB/T 8565.2—1988，92—32
387	暋	G8-7C41	GB/T 8565.2—1988，92—33
388	赑	G8-7C42	GB/T 8565.2—1988，92—34
389	赗	G8-7C43	GB/T 8565.2—1988，92—35
390	牣	G8-7C44	GB/T 8565.2—1988，92—36
391	牷	G8-7C45	GB/T 8565.2—1988，92—37
392	掱	G8-7C46	GB/T 8565.2—1988，92—38
393	扡	G8-7C47	GB/T 8565.2—1988，92—39
394	扠	G8-7C48	GB/T 8565.2—1988，92—40
395	抃	G8-7C49	GB/T 8565.2—1988，92—41
396	拤	G8-7C4A	GB/T 8565.2—1988，92—42
397	拃	G8-7C4B	GB/T 8565.2—1988，92—43
398	挜	G8-7C4C	GB/T 8565.2—1988，92—44
399	挦	G8-7C4D	GB/T 8565.2—1988，92—45
400	掯	G8-7C4E	GB/T 8565.2—1988，92—46
401	揾	G8-7C4F	GB/T 8565.2—1988，92—47
402	搢	G8-7C50	GB/T 8565.2—1988，92—48
403	搒	G8-7C51	GB/T 8565.2—1988，92—49
404	擭	G8-7C52	GB/T 8565.2—1988，92—50
405	朓	G8-7C53	GB/T 8565.2—1988，92—51
406	朘	G8-7C54	GB/T 8565.2—1988，92—52
407	腘	G8-7C55	GB/T 8565.2—1988，92—53
408	臑	G8-7C56	GB/T 8565.2—1988，92—54
409	飏	G8-7C57	GB/T 8565.2—1988，92—55
410	飔	G8-7C58	GB/T 8565.2—1988，92—56
411	飗	G8-7C59	GB/T 8565.2—1988，92—57
412	穀	G8-7C5A	GB/T 8565.2—1988，92—58
413	炘	G8-7C5B	GB/T 8565.2—1988，92—59
414	烜	G8-7C5C	GB/T 8565.2—1988，92—60
415	烺	G8-7C5D	GB/T 8565.2—1988，92—61
416	焌	G8-7C5E	GB/T 8565.2—1988，92—62
417	焜	G8-7C5F	GB/T 8565.2—1988，92—63
418	燋	G8-7C60	GB/T 8565.2—1988，92—64
419	爟	G8-7C61	GB/T 8565.2—1988，92—65
420	烝	G8-7C62	GB/T 8565.2—1988，92—66
421	斝	G8-7C63	GB/T 8565.2—1988，92—67
422	扆	G8-7C64	GB/T 8565.2—1988，92—68
423	怗	G8-7C65	GB/T 8565.2—1988，92—69
424	惇	G8-7C66	GB/T 8565.2—1988，92—70
425	惓	G8-7C67	GB/T 8565.2—1988，92—71
426	悰	G8-7C68	GB/T 8565.2—1988，92—72
427	惙	G8-7C69	GB/T 8565.2—1988，92—73
428	愔	G8-7C6A	GB/T 8565.2—1988，92—74
429	氿	G8-7C6B	GB/T 8565.2—1988，92—75
430	汧	G8-7C6C	GB/T 8565.2—1988，92—76
431	沄	G8-7C6D	GB/T 8565.2—1988，92—77
432	沚	G8-7C6E	GB/T 8565.2—1988，92—78
433	汭	G8-7C6F	GB/T 8565.2—1988，92—79
434	沨	G8-7C70	GB/T 8565.2—1988，92—80
435	泆	G8-7C71	GB/T 8565.2—1988，92—81
436	沵	G8-7C72	GB/T 8565.2—1988，92—82
437	浉	G8-7C73	GB/T 8565.2—1988，92—83
438	洸	G8-7C74	GB/T 8565.2—1988，92—84
439	洑	G8-7C75	GB/T 8565.2—1988，92—85
440	洺	G8-7C76	GB/T 8565.2—1988，92—86
441	洨	G8-7C77	GB/T 8565.2—1988，92—87
442	浐	G8-7C78	GB/T 8565.2—1988，92—88
443	洴	G8-7C79	GB/T 8565.2—1988，92—89
444	浕	G8-7C7A	GB/T 8565.2—1988，92—90
445	浡	G8-7C7B	GB/T 8565.2—1988，92—91
446	涢	G8-7C7C	GB/T 8565.2—1988，92—92
447	浥	G8-7C7D	GB/T 8565.2—1988，92—93
448	浛	G8-7C7E	GB/T 8565.2—1988，92—94
449	浤	G8-7D21	GB/T 8565.2—1988，93—01
450	涴	G8-7D22	GB/T 8565.2—1988，93—02
451	溚	G8-7D23	GB/T 8565.2—1988，93—03
452	湜	G8-7D24	GB/T 8565.2—1988，93—04
453	湲	G8-7D25	GB/T 8565.2—1988，93—05
454	溠	G8-7D26	GB/T 8565.2—1988，93—06
455	溇	G8-7D27	GB/T 8565.2—1988，93—07
456	溎	G8-7D28	GB/T 8565.2—1988，93—08
457	滉	G8-7D29	GB/T 8565.2—1988，93—09
458	滃	G8-7D2A	GB/T 8565.2—1988，93—10
459	漷	G8-7D2B	GB/T 8565.2—1988，93—11
460	滘	G8-7D2C	GB/T 8565.2—1988，93—12
461	滪	G8-7D2D	GB/T 8565.2—1988，93—13
462	潖	G8-7D2E	GB/T 8565.2—1988，93—14
463	潵	G8-7D2F	GB/T 8565.2—1988，93—15
464	潟	G8-7D30	GB/T 8565.2—1988，93—16
465	澴	G8-7D31	GB/T 8565.2—1988，93—17
466	澼	G8-7D32	GB/T 8565.2—1988，93—18
467	瀔	G8-7D33	GB/T 8565.2—1988，93—19
468	瀍	G8-7D34	GB/T 8565.2—1988，93—20
469	瀌	G8-7D35	GB/T 8565.2—1988，93—21
470	瀼	G8-7D36	GB/T 8565.2—1988，93—22
471	祃	G8-7D37	GB/T 8565.2—1988，93—23
472	祇	G8-7D38	GB/T 8565.2—1988，93—24
