553	茌	5	4957	6	
554	䈕	5	6281	1	
555	齿	1	423	11881	
556	尺	2	597	7529	
557	耻	3	1848.2	784	# 可能有〈文艺〉50次。
558	侈	4	3039	123	
559	豉	5	5517	2	
560	褫	5	6313	1	
561	赤	2	1033	3080	
562	翅	3	1619	1125	
563	斥	3	1675	1018	
564	炽	4	3212	92	
565	敕	5	4950	6	
566	叱	5	5036	7	
567	饬	5	5112	5	
568	迣	5	5925	1	
569	充	2	588	7681	
570	冲	2	751	5445	# 按附录三，〈政治〉重见1100号329次乃衡（与衝形近）之误，应归衡下。恰缺此数。
571	𢰦	4	3151	102	
572	忡	5	4394	15	
573	茺	5	5060	5	
574	舂	5	5823	11	
575	憧	5	6026	3	
576	虫	1	418	12032	
577	崇	3	1802	841	
578	宠	4	3513	55	
579	埫	5	5916	1	
580	铳	5	6200	1	
581	抽	2	1069	2856	
582	犨	5	5512	2	# 按2级字定义，降至5级字。
583	仇	3	1778	864	
584	筹	4	2401	343	
585	愁	4	2427	331	
586	酬	4	2491	303	
587	畴	4	2564	272	
588	稠	4	2790	187	
589	绸	4	2968	139	
590	踌	4	3746	38	
591	俦	5	5130	4	
592	雠	5	5810	1	
593	丑	3	2232	434	
594	瞅	4	2502	299	
595	吜	5	4242	18	
596	𥄨	5	4261	18	# 按附录二，与2502瞅299次暂并列。
597	臭	3	1954	669	
598	出	1	49	64972	
599	初	2	682	6333	
600	樗	5	5647	2	
601	除	1	420	11982	# 按附录三，原少计31次。
602	锄	3	2139	502	
603	雏	4	2711	200	# 按附录三，原多计15次。
604	刍	4	3592	50	
605	蜍	4	3685	42	
606	厨	4	3793	73	
607	躇	4	4054	24	
608	橱	5	4296	17	
609	滁	5	5211	4	
610	础	2	713	5933	
611	楚	2	964	3496	
612	储	3	1851	777	
613	杵	5	4625	10	
614	褚	5	4889	7	
615	处	1	290	18436	
616	触	2	775	5184	
617	搐	4	3561	51	
618	黜	4	3681	43	
619	矗	4	4007	26	
620	绌	5	4797	8	
621	俶	5	5849	1	
622	欻	5	6148	1	
623	揣	4	3934	38	
624	踹	5	4978	6	
625	穿	2	1128	2901	# 按附录三，原少计233次，〈新闻〉重见1245号，511次乃穷之误，移去。
626	川	2	1245	2127	
627	氚	5	4418	14	
628	传	1	365	14830	
629	船	2	1043	3029	
630	椽	5	4523	13	
631	喘	3	2200	456	
632	舛	5	4849	7	
633	荈	5	5958	1	# 无误。
634	串	3	1544	1268	
635	钏	5	4234	19	
636	窗	3	1807	834	
637	疮	4	2539	281	
638	床	1	483	10250	
639	幢	4	4035	25	
640	闯	3	1901	726	
641	摤	5	5618	2	
642	创	2	675	6397	
643	吹	2	984	3364	
644	炊	3	2290	400	
645	垂	2	1110	2723	
646	锤	2	1366	1726	
647	捶	4	3682	48	
648	槌	4	3719	41	
649	棰	5	4954	6	
650	陲	5	5874	6	
651	春	2	621	7050	
652	蝽	4	2727	208	
653	椿	4	3227	119	
654	纯	2	1025	3128	
655	醇	3	1728	898	# 按附录三，原多计35次。
656	唇	3	2234	457	
657	淳	4	4096	27	# 按3级字定义，降至4级字。
658	莼	5	5061	6	
659	鹑	5	5754	2	
660	蠢	3	2282	403	
661	堾	5	5163	4	
662	戳	4	3145	148	
663	绰	4	3648	45	
664	龊	4	3842	36	
665	啜	5	5040	5	
666	辍	5	5224	4	
667	疵	4	3341	72	
668	磁	2	759	5315	
669	雌	2	1361	1746	
670	词	3	1494	1405	
671	茨	3	1858	768	
672	瓷	3	2207	453	
673	辞	3	2317	387	
674	慈	4	2426	331	
675	祠	4	3557	52	
676	鹚	5	6341	1	
677	此	1	244	23091	
678	次	1	206	26103	
679	刺	2	994	3313	
680	赐	4	3003	132	
681	朿	5	5067	5	
682	葱	3	2222	439	
683	聪	3	2242	425	
684	匆	3	2339	377	
685	囱	4	3404	78	
686	苁	5	4561	12	
687	枞	5	5063	5	
688	从	1	124	37500	
689	丛	3	1597	1170	
690	淙	5	5625	2	
691	凑	3	2067	566	
692	楱	5	4217	19	
693	腠	5	4399	15	
694	辏	5	5226	4	
695	粗	2	868	4263	
696	促	2	687	7294	# 按附录三，原少计1000次（少进千位1）
697	醋	3	2213	448	
698	簇	4	2765	195	
699	蹙	5	4198	20	
700	猝	5	4389	16	
701	蹴	5	5745	2	
702	蹿	4	3765	38	
703	撺	5	4928	8	
704	汆	5	5050	5	# 原文作“氽”，按音修正。
705	篡	3	2071	561	
706	窜	4	2503	299	
707	催	3	1563	1231	
708	摧	3	1947	674	
709	崔	4	3772	118	
710	缞	5	6262	1	
711	璀	5	5677	2	
712	淬	3	1638	1093	
713	粹	3	1668	1028	
714	脆	3	1959	665	
715	翠	4	2589	259	
716	萃	4	2994	135	
717	瘁	5	4793	8	
718	悴	5	5065	6	
719	村	1	492	9996	
720	存	1	464	10792	
721	忖	5	5227	6	
722	寸	2	717	5810	
723	撮	3	2043	588	
724	搓	4	3114	126	
725	磋	4	3912	31	
726	蹉	5	6300	1	
727	矬	5	4892	7	
728	嵯	5	5611	2	
729	痤	5	6162	1	
730	错	2	729	5725	
731	措	2	996	3303	
732	挫	4	2573	267	
